,region,electorate_2019,population_2020,area_km2,representative,,party,province_name,district_no,district_link
140,NCR,229470,425758,21.26,Neptali Gonzales II,,NUP,Mandaluyong,at-large,/wiki/Mandaluyong%27s_at-large_congressional_district
141,VII,226091,364116,34.87,Emmarie Ouano-Dizon,,Lakas,Mandaue,at-large,/wiki/Mandaue%27s_at-large_congressional_district
142,NCR,238437,441282,4.57,Ernix Dionisio,,Lakas,Manila,1,/wiki/Manila%27s_1st_congressional_district
143,NCR,139169,212938,4.08,Rolando Valeriano,,NUP,Manila,2,/wiki/Manila%27s_2nd_congressional_district
144,NCR,159496,220029,6.24,Joel Chua,,Aksyon Demokratiko,Manila,3,/wiki/Manila%27s_3rd_congressional_district
145,NCR,162427,277013,5.14,Edward Maceda,,NPC,Manila,4,/wiki/Manila%27s_4th_congressional_district
146,NCR,209481,395065,11.56,Irwin Tieng,,Lakas,Manila,5,/wiki/Manila%27s_5th_congressional_district
147,NCR,156139,300186,7.79,Benny Abante,,NUP,Manila,6,/wiki/Manila%27s_6th_congressional_district
148,NCR,106706,174892,9.03,Maan Teodoro,,UNA,Marikina,1,/wiki/Marikina%27s_1st_congressional_district
149,NCR,139395,281167,13.62,Stella Quimbo,,Liberal,Marikina,2,/wiki/Marikina%27s_2nd_congressional_district
150,IV-B,152570,239207,952.58,Lord Allan Jay Velasco,,NPC,Marinduque,at-large,/wiki/Marinduque%27s_at-large_congressional_district
151,V,116767,177651,814.48,Richard Kho,,Lakas,Masbate,1,/wiki/Masbate%27s_1st_congressional_district
152,V,239021,404366,2053.25,Ara Kho,,Lakas,Masbate,2,/wiki/Masbate%27s_2nd_congressional_district
153,V,210791,326903,1284.05,Wilton Kho,,Lakas,Masbate,3,/wiki/Masbate%27s_3rd_congressional_district
154,X,193312,276762,1000.76,Jason Almonte,,PDP,Misamis Occidental,1,/wiki/Misamis_Occidental%27s_1st_congressional_district
155,X,215525,340571,1054.46,Ando Oaminal,,Nacionalista,Misamis Occidental,2,/wiki/Misamis_Occidental%27s_2nd_congressional_district
156,X,274450,405763,1481.17,Christian Unabia,,Lakas,Misamis Oriental,1,/wiki/Misamis_Oriental%27s_1st_congressional_district
157,X,349580,551137,1650.35,Yevgeny Vincente Emano,,Padayon Pilipino,Misamis Oriental,2,/wiki/Misamis_Oriental%27s_2nd_congressional_district
158,CAR,108512,158200,2157.38,Maximo Dalog Jr.,,Nacionalista,Mountain Province,at-large,/wiki/Legislative_districts_of_Mountain_Province
159,NCR,341511,543445,39.75,Jaime Fresnedi,,Liberal,Muntinlupa,at-large,/wiki/Muntinlupa%27s_at-large_congressional_district
160,NCR,145806,247543,10.77,Toby Tiangco,,Partido Navoteño,Navotas,at-large,/wiki/Navotas%27s_at-large_congressional_district
161,VI,249468,381716,1436.59,Gerardo Valmayor Jr.,,NPC,Negros Occidental,1,/wiki/Negros_Occidental%27s_1st_congressional_district
162,VI,206751,362521,967.77,Alfredo Thirdy Marañon,,NUP,Negros Occidental,2,/wiki/Negros_Occidental%27s_2nd_congressional_district
163,VI,306831,482646,942.29,Jose Francisco Benitez,,PFP,Negros Occidental,3,/wiki/Negros_Occidental%27s_3rd_congressional_district
164,VI,241076,406666,750.86,Juliet Marie Ferrer,,NUP,Negros Occidental,4,/wiki/Negros_Occidental%27s_4th_congressional_district
165,VI,277004,464026,1220.0,Dino Yulo,,Independent,Negros Occidental,5,/wiki/Negros_Occidental%27s_5th_congressional_district
166,VI,295254,525597,2485.03,Mercedes Alvarez,,NPC,Negros Occidental,6,/wiki/Negros_Occidental%27s_6th_congressional_district
167,VII,271566,445970,1797.44,Jocelyn Limkaichong,,Liberal,Negros Oriental,1,/wiki/Negros_Oriental%27s_1st_congressional_district
168,VII,339117,535632,1480.26,Manuel Sagarbarria,,NPC,Negros Oriental,2,/wiki/Negros_Oriental%27s_2nd_congressional_district
169,VII,278143,451388,2107.83,Vacant,,,Negros Oriental,3,/wiki/Negros_Oriental%27s_3rd_congressional_district
170,VIII,241623,345791,1937.46,Paul Daza,,NUP,Northern Samar,1,/wiki/Northern_Samar%27s_1st_congressional_district
171,VIII,201201,293395,1755.47,Harris Ongchuan,,NUP,Northern Samar,2,/wiki/Northern_Samar%27s_2nd_congressional_district
172,III,358002,598187,1027.38,Mika Suansing,,Lakas,Nueva Ecija,1,/wiki/Nueva_Ecija%27s_1st_congressional_district
173,III,310119,493038,1897.18,Joseph Gilbert Violago,,NUP,Nueva Ecija,2,/wiki/Nueva_Ecija%27s_2nd_congressional_district
174,III,411583,636728,1384.55,Rosanna Vergara,,PDP,Nueva Ecija,3,/wiki/Nueva_Ecija%27s_3rd_congressional_district
175,III,380746,582181,1351.76,Emeng Pascual,,Lakas,Nueva Ecija,4,/wiki/Nueva_Ecija%27s_4th_congressional_district
176,II,278898,497432,3975.67,Luisa Lloren Cuaresma,,Lakas,Nueva Vizcaya,at-large,/wiki/Nueva_Vizcaya%27s_at-large_congressional_district
177,IV-B,289953,525354,5865.71,Odie Tarriela,,PFP,Occidental Mindoro,at-large,/wiki/Occidental_Mindoro%27s_at-large_congressional_district
178,IV-B,282342,485487,2015.19,Arnan Panaligan,,Lakas,Oriental Mindoro,1,/wiki/Oriental_Mindoro%27s_1st_congressional_district
179,IV-B,231200,422852,2223.19,Alfonso Umali Jr.,,Liberal,Oriental Mindoro,2,/wiki/Oriental_Mindoro%27s_2nd_congressional_district
180,IV-B,262465,462089,7725.9,Vacant,,,Palawan,1,/wiki/Palawan%27s_1st_congressional_district
181,IV-B,236014,438769,6116.5,Jose Alvarez,,PDP,Palawan,2,/wiki/Palawan%27s_2nd_congressional_district
182,IV-B,178706,345815,3188.35,Vacant,,,Palawan,3,/wiki/Palawan%27s_3rd_congressional_district
183,III,380959,880360,240.77,Carmelo Lazatin II,,PDP,Pampanga,1,/wiki/Pampanga%27s_1st_congressional_district
184,III,330862,655973,815.48,Gloria Macapagal Arroyo,,Lakas,Pampanga,2,/wiki/Pampanga%27s_2nd_congressional_district
185,III,400858,782547,431.17,Aurelio Gonzales Jr.,,Independent,Pampanga,3,/wiki/Pampanga%27s_3rd_congressional_district
186,III,347624,581757,575.05,Anna Bondoc,,Nacionalista,Pampanga,4,/wiki/Pampanga%27s_4th_congressional_district
187,I,278494,454365,1758.81,Arthur Celeste,,Nacionalista,Pangasinan,1,/wiki/Pangasinan%27s_1st_congressional_district
188,I,325051,514041,1080.26,Mark Cojuangco,,NPC,Pangasinan,2,/wiki/Pangasinan%27s_2nd_congressional_district
189,I,406069,708245,584.07,Rachel Baby Arenas,,Lakas,Pangasinan,3,/wiki/Pangasinan%27s_3rd_congressional_district
190,I,310771,495311,274.35,Christopher de Venecia,,Lakas,Pangasinan,4,/wiki/Pangasinan%27s_4th_congressional_district
191,I,324329,526367,585.67,Ramon Guico Jr.,,Lakas,Pangasinan,5,/wiki/Pangasinan%27s_5th_congressional_district
192,I,301978,464861,1175.09,Len Primicias Agabas,,PFP,Pangasinan,6,/wiki/Pangasinan%27s_6th_congressional_district
193,NCR,137525,265839,17.06,Edwin Olivarez,,Lakas,Parañaque,1,/wiki/Para%C3%B1aque%27s_1st_congressional_district
194,NCR,191399,424153,27.99,Gustavo Tambunting,,NUP,Parañaque,2,/wiki/Para%C3%B1aque%27s_2nd_congressional_district
195,NCR,285538,440656,13.97,Antonino Calixto,,Lakas,Pasay,at-large,/wiki/Pasay%27s_at-large_congressional_district
196,NCR,440856,803159,31.0,Roman Romulo,,Independent,Pasig,at-large,/wiki/Pasig%27s_at-large_congressional_district
197,IV-A,320898,573895,4178.81,Wilfrido Mark Enverga,,NPC,Quezon,1,/wiki/Quezon%27s_1st_congressional_district
198,IV-A,421577,753343,825.38,David C. Suarez,,Lakas,Quezon,2,/wiki/Quezon%27s_2nd_congressional_district
